Año,País,Valor
2020,COL,11.959
2021,COL,12.139
2022,COL,12.039
2023,COL,12.482
2019,POL,12.968
2020,POL,13.728
2021,POL,13.852
2022,POL,14.487
2023,POL,14.698
2019,AUT,11.616
2020,AUT,11.791
2021,AUT,11.937
2022,AUT,11.841
2023,AUT,11.861
2019,SVK,11.837
2020,SVK,11.998
2021,SVK,11.384
2022,SVK,11.682
2023,SVK,11.602
2019,LVA,7.213
2020,LVA,7.138
2021,LVA,7.075
2022,LVA,7.183
2023,LVA,7.306
2019,DEU,10.387
2020,DEU,10.793
2021,DEU,10.938
2022,DEU,10.025
2023,DEU,8.985
2019,SVN,12.709
2020,SVN,12.499
2021,SVN,11.719
2022,SVN,11.365
2023,SVN,11.008
2019,AUS,8.586
2020,AUS,8.725
2021,AUS,8.826
2022,AUS,8.833
2023,AUS,8.803
2019,POL,9.378
2020,POL,9.305
2021,POL,9.249
2022,POL,9.198
2023,POL,9.268
2019,BRA,10.159
2020,BRA,10.007
2021,BRA,9.869
2022,BRA,9.713
2023,BRA,9.564
2019,LVA,10.047
2020,LVA,10.514
2021,LVA,12.322
2022,LVA,10.821
2023,LVA,10.671
2019,BEL,0.0358161455288349
2020,BEL,0.0572983296275839
2021,BEL,0.0372683360555152
2022,BEL,0.0519099085468599
2019,HRV,6.30065017211707
2020,HRV,6.47799155683276
2021,HRV,6.65341890012444
2022,HRV,6.82611477493671
2019,CYP,4.47
2020,CYP,3.475
2021,CYP,3.859
2022,CYP,5.871
2023,CYP,4.669
2019,RUS,9.617
2020,RUS,9.586
2021,RUS,9.512
2022,RUS,9.364
2019,CRI,5.713
2020,CRI,5.688
2021,CRI,5.507
2022,CRI,5.537
2023,CRI,4.979
2019,IND,8.129
2020,IND,8.346
2021,IND,8.364
2022,IND,7.991
2023,IND,7.619
2019,IND,6.636
2020,IND,7.418
2021,IND,7.62
2022,IND,7.413
2023,IND,7.116
2019,MLT,6.59
2020,MLT,6.536
2021,MLT,6.695
2022,MLT,6.645
2023,MLT,6.791
2019,IDN,0.676
2019,IND,13.286
2020,IND,12.905
2021,IND,12.617
2022,IND,13.144
2023,IND,12.812
2019,DNK,10.953
2020,DNK,11.229
2021,DNK,11.352
2022,DNK,11.448
2023,DNK,11.316
2019,CHL,7.265
2020,CHL,7.288
2021,CHL,7.329
2022,CHL,7.363
2023,CHL,7.367
2019,G7,10.768
2020,G7,10.753
2021,G7,10.748
2022,G7,10.744
2023,G7,10.713
2019,G7,10.867
2020,G7,10.785
2021,G7,10.982
2022,G7,10.873
2023,G7,11.086
2019,LVA,12.532
2020,LVA,12.372
2021,LVA,12.03
2022,LVA,11.861
2023,LVA,11.539
2019,ZAF,0.463
2020,ZAF,0.314
2021,ZAF,0.294
2022,ZAF,0.42
2023,ZAF,0.459
2019,EU27,6.022
2020,EU27,5.804
2021,EU27,5.844
2022,EU27,6.059
2023,EU27,6.167
2019,E,12.9191709261914
2020,E,12.8826661190711
2021,E,12.6830588768517
2022,E,12.5323424019036
2019,CYP,0.418
2020,CYP,0.264
2021,CYP,0.593
2022,CYP,0.624
2023,CYP,0.531
2019,CHL,8.797
2020,CHL,8.849
2021,CHL,8.883
2022,CHL,8.929
2023,CHL,9.03
2019,KOR,0.919
2020,KOR,0.78
2021,KOR,0.843
2022,KOR,0.865
2023,KOR,0.767
2019,CRI,10.967
2020,CRI,12.13
2021,CRI,11.95
2022,CRI,11.665
2023,CRI,13.519
2019,JPN,12.121
2020,JPN,11.842
2021,JPN,11.538
2022,JPN,9.859
2023,JPN,9.589
2019,LVA,6.332
2020,LVA,6.436
2021,LVA,6.601
2022,LVA,6.925
2023,LVA,7.202
2019,FIN,0.659
2020,FIN,0.518
2021,FIN,0.651
2022,FIN,0.729
2023,FIN,0.812
2019,MEX,8.92
2020,MEX,9.924
2021,MEX,8.299
2022,MEX,8.093
2023,MEX,7.352
2019,MLT,9.093
2020,MLT,6.056
2021,MLT,8.136
2022,MLT,10.735
2023,MLT,9.991
2021,MLT,0.0183524721822519
2019,E,1.76707323986552
2020,E,1.80690688579897
2021,E,1.89860067322905
2022,E,2.01908966561658
2019,OECD,6.245
2020,OECD,6.291
2021,OECD,6.354
2022,OECD,6.409
2023,OECD,6.443
2019,LUX,9.129
2020,LUX,9.091
2021,LUX,9.192
2022,LUX,9.182
2023,LUX,9.115
2019,FIN,0.933
2020,FIN,1.015
2021,FIN,1.107
2022,FIN,0.942
2023,FIN,1.106
2019,EU27,6.709
2020,EU27,6.528
2021,EU27,6.664
2022,EU27,6.775
2023,EU27,6.832
2019,EU22OECD,10.912
2020,EU22OECD,11.62
2021,EU22OECD,11.39
2022,EU22OECD,10.657
2023,EU22OECD,11.245
2021,ROU,0.0286851505598507
2022,ROU,0.0238277935250187
2019,AUS,11.583
2020,AUS,11.742
2021,AUS,11.645
2022,AUS,11.573
2023,AUS,11.751
2019,KOR,4.078
2020,KOR,4.582
2021,KOR,4.962
2022,KOR,5.171
2023,KOR,5.55
2019,MLT,9.898
2020,MLT,10.649
2021,MLT,10.676
2022,MLT,10.98
2023,MLT,10.916
2019,NLD,15.545
2020,NLD,17.284
2021,NLD,15.416
2022,NLD,15.801
2023,NLD,17.806
2019,DNK,20.713
2020,DNK,19.624
2021,DNK,17.883
2022,DNK,15.811
2023,DNK,17.846
2019,IRL,9.389
2020,IRL,9.525
2021,IRL,6.136
2022,IRL,6.657
2019,AUT,6.713
2020,AUT,6.52
2021,AUT,6.36
2022,AUT,6.255
2023,AUT,6.217
2019,EU27,0.0622773982383765
2020,EU27,0.0631536439055051
2021,EU27,0.0668660713611963
2022,EU27,0.0692584314139421
2019,E,0.0412517391826272
2020,E,0.0440593932296416
2021,E,0.0471900073567668
2022,E,0.0472548345628452
2019,MLT,14.991
2020,MLT,15.862
2021,MLT,15.924
2022,MLT,16.043
2023,MLT,16.318
2019,TUR,13.803
2020,TUR,13.464
2021,TUR,13.277
2022,TUR,13.405
2023,TUR,12.96
2019,IRL,14.148
2020,IRL,16.051
2021,IRL,11.472
2022,IRL,18.808
2023,IRL,15.516
2019,ESP,12.616
2020,ESP,13.243
2021,ESP,12.653
2022,ESP,12.491
2023,ESP,14.319
2019,IND,2.984
2020,IND,2.582
2021,IND,2.697
2022,IND,2.448
2023,IND,2.838
2019,OECD,8.961
2020,OECD,8.828
2021,OECD,8.926
2022,OECD,8.651
2023,OECD,8.432
2019,EU19OECD,11.805
2020,EU19OECD,12.277
2021,EU19OECD,12.389
2022,EU19OECD,12.403
2023,EU19OECD,12.402
2019,AUT,9.012
2020,AUT,9.186
2021,AUT,9.291
2022,AUT,9.276
2023,AUT,9.233
2019,NOR,11.419
2020,NOR,11.255
2021,NOR,10.71
2022,NOR,10.946
2023,NOR,10.97
2019,CHL,5.053
2020,CHL,5.183
2021,CHL,5.3
2022,CHL,5.417
2023,CHL,5.521
2019,LUX,14.293
2020,LUX,14.088
2021,LUX,14.006
2022,LUX,14.161
2023,LUX,14.139
2019,GBR,2.366
2020,GBR,2.469
2021,GBR,2.462
2022,GBR,2.663
2023,GBR,2.743
2019,JPN,8.333
2020,JPN,9.565
2021,JPN,9.483
2022,JPN,9.346
2023,JPN,9.346
2019,CHL,10.214
2020,CHL,10.528
2021,CHL,10.795
2022,CHL,10.924
2023,CHL,10.901
2019,CRI,8.484
2020,CRI,8.06
2021,CRI,7.809
2022,CRI,7.949
2023,CRI,8.318
2019,CRI,9.14
2020,CRI,9.221
2021,CRI,9.339
2022,CRI,9.729
2023,CRI,9.346
2019,LVA,8.188
2020,LVA,8.36
2021,LVA,8.508
2022,LVA,8.58
2023,LVA,8.558
2019,HUN,8.929
2020,HUN,10.468
2021,HUN,9.903
2022,HUN,10.039
2023,HUN,8.729
2019,FIN,6.793
2020,FIN,8.356
2021,FIN,9.537
2022,FIN,9.296
2023,FIN,9.091
2019,RUS,9.399
2020,RUS,9.743
2021,RUS,10.06
2022,RUS,10.103
2019,ZAF,7.908
2020,ZAF,8.114
2021,ZAF,8.25
2022,ZAF,8.335
2023,ZAF,8.381
2019,SWE,12.396
2020,SWE,12.909
2021,SWE,12.056
2022,SWE,10.826
2023,SWE,11.104
2019,CAN,0.747
2020,CAN,0.741
2021,CAN,0.735
2022,CAN,0.785
2023,CAN,0.85
2019,PRT,10.253
2020,PRT,9.443
2021,PRT,7.938
2022,PRT,7.337
2023,PRT,8.125
2019,HUN,0.416
2020,HUN,0.444
2021,HUN,0.489
2022,HUN,0.565
2023,HUN,0.744
2019,IRL,8.307
2020,IRL,8.095
2021,IRL,7.91
2022,IRL,7.849
2023,IRL,7.872
2019,FRA,5.292
2020,FRA,5.404
2021,FRA,7.223
2022,FRA,7.542
2023,FRA,8.123
2019,EST,6.984
2020,EST,6.98
2021,EST,7.118
2022,EST,7.121
2023,EST,7.065
2019,SWE,11.576
2020,SWE,11.438
2021,SWE,11.347
2022,SWE,10.902
2023,SWE,10.792
2019,EST,7.959
2020,EST,7.358
2021,EST,6.877
2022,EST,6.555
2023,EST,6.302
2019,IRL,14.454
2020,IRL,13.327
2021,IRL,14.83
2022,IRL,16.644
2023,IRL,19.711
2019,CAN,8.722
2020,CAN,8.289
2021,CAN,8.492
2022,CAN,8.292
2023,CAN,6.637
2019,LUX,9.923
2020,LUX,10.067
2021,LUX,10.171
2022,LUX,7.078
2023,LUX,6.84
2019,FIN,8.654
2020,FIN,8.947
2021,FIN,9.275
2022,FIN,7.931
2023,FIN,8.248
2019,DEU,10.279
2020,DEU,10.892
2021,DEU,11.086
2022,DEU,10.866
2023,DEU,10.596
2019,BGR,12.533
2020,BGR,11.762
2021,BGR,10.976
2022,BGR,11.993
2023,BGR,15.445
2019,EU22OECD,0.485
2020,EU22OECD,0.497
2021,EU22OECD,0.647
2022,EU22OECD,0.778
2023,EU22OECD,0.871
2019,MKD,13.57
2020,MKD,13.494
2019,GRC,15.228
2020,GRC,15.712
2021,GRC,15.158
2022,GRC,14.554
2023,GRC,14.273
2019,GBR,10.062
2020,GBR,10.182
2021,GBR,10.403
2022,GBR,10.316
2023,GBR,10.317
2019,LTU,6.955
2020,LTU,6.891
2021,LTU,6.661
2022,LTU,6.054
2023,LTU,5.756
2019,LVA,11.496
2020,LVA,11.433
2021,LVA,11.459
2022,LVA,11.445
2023,LVA,11.665
2019,SWE,2.822
2020,SWE,2.378
2021,SWE,2.466
2022,SWE,3.041
2023,SWE,3.011
2019,LTU,7.211
2020,LTU,6.727
2021,LTU,8.556
2022,LTU,8.201
2023,LTU,7.465
2019,NLD,11.428
2020,NLD,11.447
2021,NLD,11.273
2022,NLD,11.076
2023,NLD,10.68
2019,RUS,15.235
2020,RUS,15.204
2021,RUS,15.199
2022,RUS,15.087
2019,GRC,7.654
2020,GRC,7.693
2021,GRC,7.937
2022,GRC,7.77
2023,GRC,7.598
2019,MKD,1.191
2020,MKD,1.211
2019,CYP,5.286
2020,CYP,5.149
2021,CYP,6.45
2022,CYP,6.226
2023,CYP,6.025
2019,MLT,1.577
2020,MLT,8.72
2021,MLT,11.052
2022,MLT,2.366
2023,MLT,3.075
2019,GRC,8.135
2020,GRC,8.57
2021,GRC,10.579
2022,GRC,10.676
2023,GRC,11.534
2019,COL,1.105
2020,COL,0.833
2021,COL,0.962
2022,COL,1.14
2023,COL,1.138
2019,ISL,8.891
2020,ISL,9.063
2021,ISL,9.091
2022,ISL,9.166
2023,ISL,9.295
2019,LUX,7.362
2020,LUX,7.304
2021,LUX,7.235
2022,LUX,7.118
2023,LUX,6.99
2019,ITA,6.413
2020,ITA,6.334
2021,ITA,6.259
2022,ITA,6.196
2023,ITA,6.151
2019,PRT,6.297
2020,PRT,6.414
2021,PRT,6.934
2022,PRT,7.731
2023,PRT,8.403
2019,NZL,10.477
2020,NZL,10.25
2021,NZL,9.928
2022,NZL,9.534
2023,NZL,9.317
2019,ISL,10.053
2020,ISL,10.521
2021,ISL,10.556
2022,ISL,10.97
2023,ISL,11.185
2019,CAN,8.335
2020,CAN,8.286
2021,CAN,8.153
2022,CAN,8.09
2023,CAN,8.129
2019,ITA,6.625
2020,ITA,6.623
2021,ITA,6.666
2022,ITA,6.762
2023,ITA,6.894
2019,OECD,8.139
2020,OECD,8.087
2021,OECD,8.082
2022,OECD,8.125
2023,OECD,8.098
2019,IND,2.001
2020,IND,2.048
2021,IND,1.783
2022,IND,2.042
2023,IND,2.073
2019,EU27,7.863
2020,EU27,7.88
2021,EU27,7.89
2022,EU27,7.793
2023,EU27,7.737
2019,DNK,10.302
2020,DNK,10.664
2021,DNK,10.85
2022,DNK,10.827
2023,DNK,10.894
2019,ISL,7.775
2020,ISL,7.814
2021,ISL,7.818
2022,ISL,7.66
2023,ISL,7.528
2019,BGR,0.549
2020,BGR,0.43
2021,BGR,0.441
2022,BGR,0.423
2023,BGR,0.422
2019,EU22OECD,12.657
2020,EU22OECD,12.616
2021,EU22OECD,12.506
2022,EU22OECD,12.391
2023,EU22OECD,12.225
2019,IDN,0.69
2019,IDN,8.963
2019,KOR,4.688
2020,KOR,4.39
2021,KOR,4.467
2022,KOR,4.469
2023,KOR,4.23
2019,KOR,3.435
2020,KOR,3.99
2021,KOR,5.774
2022,KOR,6.024
2023,KOR,5.614
2019,EU27,12.024
2020,EU27,11.862
2021,EU27,11.792
2022,EU27,11.659
2023,EU27,11.569
2019,BEL,8.153
2020,BEL,7.547
2021,BEL,7.278
2022,BEL,5.762
2023,BEL,6.849
2019,SVN,10.795
2020,SVN,12.463
2021,SVN,13.462
2022,SVN,13.169
2023,SVN,11.639
2019,ISR,4.285
2020,ISR,4.555
2021,ISR,4.674
2022,ISR,4.539
2023,ISR,4.529
2019,IDN,11.141
2019,IDN,9.793
2019,MLT,1.713
2020,MLT,8.419
2021,MLT,7.806
2022,MLT,5.369
2023,MLT,5.911
2019,OECD,0.523
2020,OECD,0.541
2021,OECD,0.533
2022,OECD,0.566
2023,OECD,0.611
2019,AUT,14.189
2020,AUT,13.886
2021,AUT,13.845
2022,AUT,13.462
2023,AUT,12.907
2019,GBR,8.396
2020,GBR,8.408
2021,GBR,8.45
2022,GBR,9.15
2023,GBR,9.262
2019,LUX,6.495
2020,LUX,6.029
2021,LUX,5.926
2022,LUX,4.895
2023,LUX,5.449
2019,GRC,7.939
2020,GRC,8.894
2021,GRC,7.798
2022,GRC,7.128
2023,GRC,5.83
2019,ESP,14.908
2020,ESP,15.267
2021,ESP,15.416
2022,ESP,15.473
2023,ESP,15.323
2019,CAN,10.856
2020,CAN,11.021
2021,CAN,11.169
2022,CAN,11.157
2023,CAN,11.442
2019,DNK,8.826
2020,DNK,8.533
2021,DNK,8.447
2022,DNK,8.405
2023,DNK,8.514
2019,CHE,10.79
2020,CHE,10.645
2021,CHE,10.818
2022,CHE,11.141
2023,CHE,10.782
2019,EU27,13.013
2020,EU27,13.092
2021,EU27,12.985
2022,EU27,12.828
2023,EU27,12.631
2019,CYP,4.50053164937658
2020,CYP,4.55740545523443
2021,CYP,4.60990000356032
2022,CYP,4.48302934162895
2019,IDN,0.192
2019,IND,20.992
2020,IND,20.533
2021,IND,20.866
2022,IND,21.795
2023,IND,21.858
2019,AUT,12.49
2020,AUT,12.144
2021,AUT,11.852
2022,AUT,11.445
2023,AUT,11.076
2019,CAN,8.814
2020,CAN,8.087
2021,CAN,8.327
2022,CAN,8.327
2023,CAN,8.524
2019,EU19OECD,12.365
2020,EU19OECD,12.329
2021,EU19OECD,12.235
2022,EU19OECD,12.123
2023,EU19OECD,11.976
2019,EU27,13.08
2020,EU27,13.694
2021,EU27,12.916
2022,EU27,12.529
2023,EU27,12.829
2019,EU22OECD,7.705
2020,EU22OECD,7.794
2021,EU22OECD,7.847
2022,EU22OECD,7.901
2023,EU22OECD,7.98
2019,GRC,6.734
2020,GRC,6.521
2021,GRC,6.488
2022,GRC,6.335
2023,GRC,6.117
2019,TUR,4.234
2020,TUR,4.29
2021,TUR,4.646
2022,TUR,4.737
2023,TUR,4.66
2019,ROU,12.634
2020,ROU,14.17
2021,ROU,16.129
2022,ROU,16.744
2023,ROU,16.179
2019,PRT,10.404
2020,PRT,11.654
2021,PRT,10.089
2022,PRT,9.064
2023,PRT,9.519
2019,USA,8.246
2020,USA,8.322
2021,USA,8.422
2022,USA,8.46
2023,USA,8.401
2019,NLD,9.156
2020,NLD,7.513
2021,NLD,7.324
2022,NLD,6.344
2023,NLD,5.667
2019,NLD,9.431
2020,NLD,9.404
2021,NLD,9.403
2022,NLD,9.247
2023,NLD,9.285
2019,ZAF,2.681
2020,ZAF,2.256
2021,ZAF,1.956
2022,ZAF,2.792
2023,ZAF,2.795
2019,MLT,12.651
2020,MLT,12.555
2021,MLT,12.853
2022,MLT,12.686
2023,MLT,12.994
2019,ARG,6.735
2020,ARG,6.431
2021,ARG,6.247
2022,ARG,6.354
2023,ARG,6.032
2019,GRC,9.704
2020,GRC,9.496
2021,GRC,10.178
2022,GRC,11.011
2023,GRC,12.942
2019,COL,16.955
2020,COL,17.91
2021,COL,17.612
2022,COL,17.327
2023,COL,17.065
2019,BGR,11.916
2020,BGR,11.915
2021,BGR,12.105
2022,BGR,10.64
2023,BGR,10.293
2019,E,3.54803310745411
2020,E,3.67984807883914
2021,E,4.05092309529876
2022,E,4.64328045234251
2019,FIN,16.961
2020,FIN,19.958
2021,FIN,13.346
2022,FIN,13.036
2023,FIN,12.67
2019,CHE,1.937
2020,CHE,1.742
2021,CHE,1.763
2022,CHE,1.804
2023,CHE,2.017
2019,SVK,13.638
2020,SVK,13.477
2021,SVK,12.999
2022,SVK,12.743
2023,SVK,12.459
2019,NLD,0.426
2020,NLD,0.444
2021,NLD,0.456
2022,NLD,0.558
2023,NLD,0.647
2019,DEU,2.21
2020,DEU,2.143
2021,DEU,2.184
2022,DEU,2.381
2023,DEU,2.521
2019,KOR,8.33
2020,KOR,8.324
2021,KOR,8.424
2022,KOR,8.555
2023,KOR,8.57
2019,NOR,2.599
2020,NOR,2.296
2021,NOR,2.633
2022,NOR,2.84
2023,NOR,2.566
2019,E,9.60639682847767
2020,E,9.41269317934292
2021,E,9.11216487835218
2022,E,8.90765732691878
2019,IDN,0.06
2019,TUR,21.146
2020,TUR,21.163
2021,TUR,21.731
2022,TUR,21.273
2023,TUR,20.748
2019,AUS,11.933
2020,AUS,11.877
2021,AUS,11.813
2022,AUS,11.636
2023,AUS,11.865
2019,GBR,11.236
2020,GBR,10.968
2021,GBR,10.637
2022,GBR,10.382
2023,GBR,10.343
2019,IND,3.988
2020,IND,3.945
2021,IND,3.777
2022,IND,3.985
2023,IND,3.875
2019,GRC,15.205
2020,GRC,15.651
2021,GRC,16.099
2022,GRC,15.281
2023,GRC,14.861
2019,USA,7.862
2020,USA,7.9
2021,USA,9.271
2022,USA,8.606
2023,USA,8.287
2019,SVN,0.0415033199738207
2020,SVN,0.0754480283020621
2021,SVN,0.0650031880619057
2022,SVN,0.0538285699418255
2019,CZE,16.912
2020,CZE,16.932
2021,CZE,16.004
2022,CZE,15.158
2023,CZE,14.17
2019,ISL,0.902
2020,ISL,0.935
2021,ISL,0.974
2022,ISL,0.85
2023,ISL,1.049
2019,ISL,11.131
2020,ISL,11.156
2021,ISL,11.398
2022,ISL,12.071
2023,ISL,12.667
2019,NLD,0.974
2020,NLD,0.839
2021,NLD,1.098
2022,NLD,1.143
2023,NLD,1.258
2019,E,1.46873289476733
2020,E,1.52945070307836
2021,E,1.62029545724693
2022,E,1.73754641198652
2019,ZAF,10.986
2020,ZAF,10.936
2021,ZAF,10.967
2022,ZAF,11.001
2023,ZAF,11.018
2019,LVA,12.933
2020,LVA,9.518
2021,LVA,12.387
2022,LVA,9.926
2023,LVA,9.823
2019,TUR,12.338
2020,TUR,12.861
2021,TUR,12.315
2022,TUR,12.041
2023,TUR,11.275
2019,RUS,9.691
2020,RUS,10.35
2021,RUS,10.374
2022,RUS,9.808
2019,BGR,7.778
2020,BGR,8.076
2021,BGR,8.18
2022,BGR,9.198
2023,BGR,9.248
2019,HRV,0.221
2020,HRV,0.768
2021,HRV,1.154
2022,HRV,0.327
2023,HRV,0.177
2019,EU22OECD,0.414
2020,EU22OECD,0.436
2021,EU22OECD,0.437
2022,EU22OECD,0.458
2023,EU22OECD,0.495
2019,MEX,9.096
2020,MEX,9.276
2021,MEX,9.154
2022,MEX,9.165
2023,MEX,9.278
2019,BRA,0.159
2020,BRA,0.056
2021,BRA,0.068
2022,BRA,0.203
2023,BRA,0.079
2019,IDN,11.546
2019,ZAF,12.67
2020,ZAF,12.377
2021,ZAF,11.398
2022,ZAF,12.545
2023,ZAF,12.039
2019,RUS,12.377
2020,RUS,12.751
2021,RUS,13.045
2022,RUS,13.304
2019,NLD,18.152
2020,NLD,20.472
2021,NLD,22.895
2022,NLD,22.451
2023,NLD,23.791
2019,GBR,8.704
2020,GBR,8.568
2021,GBR,8.487
2022,GBR,8.715
2023,GBR,8.724
2019,ISL,5.672
2020,ISL,9.167
2021,ISL,9.921
2022,ISL,9.725
2023,ISL,10.707
2019,AUT,12.914
2020,AUT,12.64
2021,AUT,12.482
2022,AUT,11.716
2023,AUT,12.616
2019,AUS,0.919
2020,AUS,1.375
2021,AUS,1.584
2022,AUS,2.072
2023,AUS,2.397
2019,G7,9.245
2020,G7,8.772
2021,G7,9.038
2022,G7,8.64
2023,G7,8.216
2019,ITA,3.957
2020,ITA,3.45
2021,ITA,3.679
2022,ITA,4.142
2023,ITA,4.076
2019,ISR,4.197
2020,ISR,4.031
2021,ISR,3.887
2022,ISR,3.965
2023,ISR,3.88
2019,ISL,10.43
2020,ISL,10.811
2021,ISL,10.492
2022,ISL,10.885
2023,ISL,11.247
2019,EU22OECD,0.06
2020,EU22OECD,0.094
2021,EU22OECD,0.075
2022,EU22OECD,0.11
2023,EU22OECD,0.133
2019,IDN,0.653
2019,IRL,4.758
2020,IRL,4.81
2021,IRL,4.861
2022,IRL,4.881
2023,IRL,4.897
2019,ITA,0.28
2020,ITA,0.398
2021,ITA,0.419
2022,ITA,0.727
2023,ITA,0.658
2019,USA,0.425504229017567
2020,USA,0.42230400593079
2021,USA,0.391022338472107
2022,USA,0.327847524881285
2019,EST,13.285
2020,EST,16.549
2021,EST,12.198
2022,EST,18.107
2023,EST,12.617
2019,SVN,12.232
2020,SVN,12.49
2021,SVN,12.669
2022,SVN,12.393
2023,SVN,12.314
2019,G7,2.75208762580801
2020,G7,2.89433966919656
2021,G7,3.38243837724703
2022,G7,3.36109060175508
2019,E,8.35731749606472
2020,E,8.3464854430231
2021,E,8.38688145144469
2022,E,8.39898572487024
2019,HRV,8.487
2020,HRV,8.548
2021,HRV,8.6
2022,HRV,8.643
2023,HRV,8.654
2019,HUN,12.527
2020,HUN,11.961
2021,HUN,11.643
2022,HUN,11.493
2023,HUN,11.449
2019,ESP,0.71
2020,ESP,0.87
2021,ESP,1.034
2022,ESP,1.136
2023,ESP,1.264
2019,IND,0.089
2020,IND,0.084
2021,IND,0.092
2022,IND,0.079
2023,IND,0.091
2019,CYP,0.949
2020,CYP,0.793
2021,CYP,1.003
2022,CYP,0.988
2023,CYP,1.207
2019,AUT,5.613
2020,AUT,5.581
2021,AUT,5.576
2022,AUT,5.628
2023,AUT,5.646
2019,CAN,10.074
2020,CAN,10.171
2021,CAN,9.973
2022,CAN,9.525
2023,CAN,9.129
2019,JPN,13.636
2020,JPN,14.474
2021,JPN,12.821
2022,JPN,12.676
2023,JPN,15.068
2019,ITA,0.369
2020,ITA,0.313
2021,ITA,0.284
2022,ITA,0.43
2023,ITA,0.451
2019,FIN,8.849
2020,FIN,7.583
2021,FIN,8.101
2022,FIN,9.365
2023,FIN,6.103
2019,ISL,10.977
2020,ISL,10.894
2021,ISL,10.653
2022,ISL,10.538
2023,ISL,10.397
2019,COL,1.363
